name,address,phone,type,delivery_route,beat_name,team_id
"ADITIYA GEN STORE","RAJPUR ROAD, RAJPUR ROAD","","General Trade","RAJPUR UPPER","RAJPUR UPPER",JA
"AISHWARIYA COSMETICS","TAPOVAN, TAPOVAN ROAD","+917895279306","General Trade","RAIPUR","RAIPUR",JA
"SUNIL COSMETICS","RAIPUR, RAIPUR","","General Trade","RAIPUR","RAIPUR",JA
"BISHT GEN. STORE","RAIPUR, RAIPUR","+918755210727","General Trade","RAIPUR","RAIPUR",JA
"TANYA COSMETICS","SAHARANPUR CHOWK, SAHARANPUR CHOWK","+919720984045","General Trade","HANUMAN CHOWK","HANUMAN CHOWK",JA
"FAMINA COSMETICS","KARANPUR, KARANPUR","999791115","General Trade","KARANPUR","KARANPUR",JA
"OLD DAILY ESSENTIAL","KALIDAS ROAD, KALIDAS ROAD","+919719077528","General Trade","NESHVILLA ROAD","NESHVILLA ROAD",JA
"MEDHUB PHARMACY","DAKRA, DAKRA","+917310622104","General Trade","KAULAGARH","KAULAGARH",JA
"KHALSA MEDICAL STORE","PATEL NAGAR, NEAR PNB BANK","","General Trade","PATEL NAGAR","PATEL NAGAR",JA
"KANHA JI","GMS ROAD, BALLIWALA CHOWK","","General Trade","ITBP-GOVIND GARH","ITBP-GOVIND GARH",JA
"VASUDHARA MART","BADOWALA, BADOWALA","+919760018452","General Trade","ITBP-GOVIND GARH","ITBP-GOVIND GARH",JA
"KUMAR SMART SHOPPEE","BADOWALA, BADOWALA","","General Trade","ITBP-GOVIND GARH","ITBP-GOVIND GARH",JA
"AGGARWAL STORE","BADOWALA, BADOWALA","","General Trade","ITBP-GOVIND GARH","ITBP-GOVIND GARH",JA
"RESHAM PHARMACY","CHAKRATA ROAD, CHAKRATA ROAD","+919758046738","General Trade","PANDITVARI","PANDITVARI",JA
"GOEL MEDICOS","CHAKRATA ROAD, CHAKRATA ROAD","","General Trade","PANDITVARI","PANDITVARI",JA
"RAWAT MEDICAL","JOGGIWALA, JOGGIWALA","+918979197745","General Trade","FUWARA CHOWK","FUWARA CHOWK",JA
"ASWAL COSMETICS","KARGI, KARGI","","General Trade","KARGI","KARGI",JA
"NEW CITY CHEMIST","BANJARAWALA, BANJARAWALA","+917017731567","General Trade","KARGI","KARGI",JA
"RONAK COLLECTION","KARGI, NEAR PNB","","General Trade","KARGI","KARGI",JA
"SIMRAN PROV STORE","KARGI, KARGI","+919870792269","General Trade","KARGI","KARGI",JA
"KUKRETI PHARMACY & COSMETICS -KARGI","NEAR STYLE CORNER BANJARWALA","+919719563541","General Trade","KARGI","KARGI",JA
"CHUNNU COSMETICS","KARGI, KARGI","+919870605913","General Trade","KARGI","KARGI",JA
"STYLE CORNER","KARGI, KARGI","+919760662233","General Trade","KARGI","KARGI",JA
"ROOP COSMETIC","MAJRI MAFI, MAJRI MAFI","+919897118874","General Trade","HARRAWALA","HARRAWALA",JA
"OM DEPT STORE","MAJRI MAFI, MAJRI MAFI","+919634271547","General Trade","HARRAWALA","HARRAWALA",JA
".USTAT TRADERS","HALDWANI CREDITOR, HALDWANI","","General Trade","OTHER","OTHER",JA
"BRIJ DEPT. STORE","CANAL ROAD, CANAL ROAD","+919152392872","General Trade","RAJPUR LOWER","RAJPUR LOWER",JA
"BLESSING MEDICOS","NESHVILLA ROAD, NESHVILL ROAD","","General Trade","NESHVILLA ROAD","NESHVILLA ROAD",JA
"SHANTI MEDICAL","TAPOVAN, TAPOVAN ROAD","+919557563375","General Trade","RAIPUR","RAIPUR",JA
"JAI MAA ANNPURNA MEDICAL","LADPUR, RAIPUR","","General Trade","RAIPUR","RAIPUR",JA
"RAMOLA MEDICOS","LADPUR","","General Trade","RAIPUR","RAIPUR",JA
"GHARWAL MEDICAL","RAIPUR, RAIPUR","+918192882488","General Trade","RAIPUR","RAIPUR",JA
"RAVI KANGAN STORE","KOTWALI, KOTWALI BAZAR","+919760759022","General Trade","HANUMAN CHOWK","HANUMAN CHOWK",JA
"OLD SHIVALIYE MEDICAL STORE","RAIPU, NEAR SHIV MANDIR","+918477087275","General Trade","RAIPUR","RAIPUR",JA
"NEW DOON MEDICAL STORE","RAIPUR, NEAR SHIV MANDIR","+919897776584","General Trade","RAIPUR","RAIPUR",JA
"SHUBH MEDICAL","RAIPUR CHOWK, RAIPUR CHOWK","+919675988259","General Trade","RAIPUR","RAIPUR",JA
"SMART PHARMACY","RAIPUR, RAIPUR","+917042063976","General Trade","RAIPUR","RAIPUR",JA
"GIRI MEDICOS","RAIPUR, RAIPUR","+919412318873","General Trade","RAIPUR","RAIPUR",JA
"PUROHIT PHARMACY","RAIPUR, RAIPUR","+919897532182","General Trade","RAIPUR","RAIPUR",JA
"NEW HEALTHCARE PHARMACY","NATTANWAL, NATTAHNWALA","+919899443505","General Trade","RAIPUR","RAIPUR",JA
"VAIBHAV LAXMI MEDICAL STORE -TAPOVA","TAPOVAN NAALA PANNI CHOWK","+917505766592","General Trade","RAIPUR","RAIPUR",JA
"PARVEEN JI","PALTAN BAZAR, PALTAN BAZAR","","General Trade","PALTAN BAZAR","PALTAN BAZAR",JA
"ALEXA SALOON","DEHRAD KHAS, ABOVE CAHI SHAI BAR","","General Trade","DEHRA KHAS","DEHRA KHAS",JA
"BINDIYA SALOON","AJABPURKALA, AJABPURKALA","","General Trade","AJABPUR RACE COURSE","AJABPUR RACE COURSE",JA
"DOON MEDICAL STORE","DHARAMPUR, NEAR CHAUHAN","+917669641053","General Trade","DHARAMPUR 2ND","DHARAMPUR 2ND",JA
"DEHRADUN PHARMACY","DHARAMPUR, DHARAMPUR","+919997185109","General Trade","DHARAMPUR 1ST","DHARAMPUR 1ST",JA
"PANWAR GEN STORE","RACE COURSE, DOBHI CHOWK","","General Trade","AJABPUR RACE COURSE","AJABPUR RACE COURSE",JA
"SHUBH MEDICOS","DHARAMPUR CHOWK, DHARAMPUR","+918532033551","General Trade","DHARAMPUR 1ST","DHARAMPUR 1ST",JA
"SAMBHAVI MEDICAL","DHARAMPUR, NEAR PNB ICICI BANK","+919412147962","General Trade","DHARAMPUR 1ST","DHARAMPUR 1ST",JA
"NOBEL MEDICAL","AJABPURKALA, AJABPURKALA","+917017208305","General Trade","AJABPUR RACE COURSE","AJABPUR RACE COURSE",JA
"BHARDWAJ MEDICAL","SEEMA DWAR, ITBP ROAD","","General Trade","ITBP-GOVIND GARH","ITBP-GOVIND GARH",JA
"MEDBAY PHARMACY","SHIMLA BYPASS RD, SHIMLA BYPASS RD","+919528984035","General Trade","ITBP-GOVIND GARH","ITBP-GOVIND GARH",JA
"EASY BUSY STORE","KARANPUR, BANGALI LIBRARY ROAD","+917060727506","General Trade","KARANPUR","KARANPUR",JA
"MUKUL TRADERS","HANUMAN CHOKW, HANUMAN CHOWK","+917983678752","General Trade","HANUMAN CHOWK","HANUMAN CHOWK",JA
"KUMAR AGENCIES","DARSHINI GATE, HANUMAN CHOWK","+918126646889","General Trade","HANUMAN CHOWK","HANUMAN CHOWK",JA
"SINGH BROTHER'S","CLOCK TOWER, CLOCK TOWER","+919045355903","General Trade","HANUMAN CHOWK","HANUMAN CHOWK",JA
"SUN SHINE STORE","DWARIKA CHOWK, DWARIKA CHOWK","","General Trade","DHARAMPUR 2ND","DHARAMPUR 2ND",JA
"GUPTA PRO STORE","DHARAMPUR, NEHRU COLONY, DIMAG KHARAB BAHUT KARTE HAI","","General Trade","FUWARA CHOWK","FUWARA CHOWK",JA
"PINK MEDICOS","JOGGIWALA, JOGGIWALA","+917983568261","General Trade","FUWARA CHOWK","FUWARA CHOWK",JA
"MAA DURGA CHEMIST","KARGI, KEDARPURAM","+917534061956","General Trade","KEDARPURAM","KEDARPURAM",JA
"UPRETI GEN STORE","MDDS KEDARPURAM, NEAR THERI HOUSE","+919897809493","General Trade","KEDARPURAM","KEDARPURAM",JA
"JAI SHREE BALAJI","KEDARPURAM, KEDARPURAM","+916398946050","General Trade","KEDARPURAM","KEDARPURAM",JA
"PRINCE COSMETICS","BADOWALA, BADOWALA","+919720465066","General Trade","ITBP-GOVIND GARH","ITBP-GOVIND GARH",JA
"AANCHAL COSMETICS","BADOWALA, BADOWALA","+918218404260","General Trade","ITBP-GOVIND GARH","ITBP-GOVIND GARH",JA
"MAA DURGA PROVISION STORE","BADOWAL, BADOWALA","","General Trade","ITBP-GOVIND GARH","ITBP-GOVIND GARH",JA
"NEW SHRI RAM MEDICAL","MUNCIPAL RD, MUNCIPAL ROAD","+919690930303","General Trade","SD ROAD","SD ROAD",JA
"DOON CITY MEDICAL","KARANPUR, KARANPUR","+918630444428","General Trade","KARANPUR","KARANPUR",JA
"INDIAN MEDICAL","CEMENT ROAD, NEAR POST OFFICE","+916395328580","General Trade","KARANPUR","KARANPUR",JA
"CARE MEDICAL","DL ROAD, DL ROAD","+919412325700","General Trade","KARANPUR","KARANPUR",JA
"GUPTA GEN STORE","KARANPUR, KARANPUR","+919012524838","General Trade","KARANPUR","KARANPUR",JA
"KARANWAL MEDICOS","SD ROAD, SD ROAD","","General Trade","SD ROAD","SD ROAD",JA
"JOYTI AROMA MAGIC","","","General Trade","OTHER","OTHER",JA
"DAZZLAR SLOON","SD ROAD, SD ROAD","+917895578556","General Trade","SD ROAD","SD ROAD",JA
"PALASH SALOON","CHAKRATA ROAD, CHAKRATA ROAD","+919897029378","General Trade","PANDITVARI","PANDITVARI",JA
"ROYAL CHEMIST","PREMNAGAR, PREMNAGAR","+918859044553","General Trade","PREM NAGAR","PREM NAGAR",JA
"RANA MEDICAL","PREMNAGAR, PREMNAGAR","","General Trade","PREM NAGAR","PREM NAGAR",JA
"SIDDHI VINAYAK MEDICAL","RAJENDER, RAJENDER NAGAR","+919897717146","General Trade","PANDITVARI","PANDITVARI",JA
"SHANVI CHEMIST","KAULAGARH, KAULAGARH ROAD","+918439001136","General Trade","PANDITVARI","PANDITVARI",JA
"ASIAN PHARMACY","NIMBUWALA, NIMBUWALA","","General Trade","KAULAGARH","KAULAGARH",JA
"S K MEDICAL STORE","KISHAN NAGAR, KISHAN NAGAR CHOWK","","General Trade","PANDITVARI","PANDITVARI",JA
"VINOD CHEMIST AND DRUGGIST","DAKRA, DAKRA","","General Trade","KAULAGARH","KAULAGARH",JA
"NEELAM COSMETICS","SEWLA KALA, 8700246431","","General Trade","CLEMENT TOWN II","CLEMENT TOWN II",JA
"VINOD PRO STORE","SEWLA KALA, OPPOSITE RAJ MEDICAL","+917456063268","General Trade","CLEMENT TOWN II","CLEMENT TOWN II",JA
"UTTARAKHAND MEDICAL STORE","CHANDR, CHANDRBANI","+918126206433","General Trade","CLEMENT TOWN II","CLEMENT TOWN II",JA
"SINGHAL MEDICAL","SUBHASH NAGAR, CLEMENT TOWN, GST CHANGE","","General Trade","CLEMENT TOWN","CLEMENT TOWN",JA
"KANISHK PROV","SEWLA KALA, SEWLA KALA","+919690254993","General Trade","CLEMENT TOWN II","CLEMENT TOWN II",JA
"VISCOSA ENTERPRISES","ITBP ROAD, THE TREE","+919389649535","General Trade","ITBP-GOVIND GARH","ITBP-GOVIND GARH",JA
"DWARIKA STORE","VAN VIHAR, VAN VIHAR","","General Trade","ITBP-GOVIND GARH","ITBP-GOVIND GARH",JA
"SHOBHIT MEDIVENTURES LLP","DHARAMPU, SHIVA COMPLEX","+919838931555","General Trade","DHARAMPUR 1ST","DHARAMPUR 1ST",JA
"VIVIKA MEDICOS","SARASWATI VIHAR, SARASWATI VIHAR","+917302645180","General Trade","AJABPUR RACE COURSE","AJABPUR RACE COURSE",JA
"GOPAL GEN STORE","HANUMAN CHOWK, HANUMAN CHOWK","+919897864704","General Trade","HANUMAN CHOWK","HANUMAN CHOWK",JA
"LAXMI COLLECTION","PALTAN BAZAR","","General Trade","HANUMAN CHOWK","HANUMAN CHOWK",JA
"MAITHANI MEDICOS","RING ROAD, RING ROAD","+918126160261","General Trade","MOHKAMPUR","MOHKAMPUR",JA
"GARHWAL MEDICAL","RING ROAD, RING ROAD","+919756214887","General Trade","MOHKAMPUR","MOHKAMPUR",JA
"SURYA MEDICAL","RING ROAD, JOGIWALA CHOWK","+918393870844","General Trade","MOHKAMPUR","MOHKAMPUR",JA
"A R MEDICOS","HARRAWALA, HARRAWALA","+919897631532","General Trade","HARRAWALA","HARRAWALA",JA
"BADOLA MEDICAL","MOHKAMPUR, HARIDWAR ROAD","+919358135787","General Trade","MOHKAMPUR","MOHKAMPUR",JA
"SHIV SHAKTI STORE","MIYAWALA, MIYAWALA","","General Trade","HARRAWALA","HARRAWALA",JA
"GAIROLA MEDICAL","DHARAMPUR, DHARAMPUR","+919760163409","General Trade","FUWARA CHOWK","FUWARA CHOWK",JA
"KANHA MINI MART","MAJRA MAFI, MAJRA MAFI","","General Trade","HARRAWALA","HARRAWALA",JA
"JAYPRAKASH","MAJRA MAFI, MAJRA MAFI","","General Trade","HARRAWALA","HARRAWALA",JA
"SHREE SHYAM STORE","POOJA VIHAR, CLEMENT TOWN","+919259121941","General Trade","CLEMENT TOWN II","CLEMENT TOWN II",JA
"SILVER LEAF","JHAKHAN, RAJPUR ROAD","+917895195639","General Trade","RAJPUR UPPER","RAJPUR UPPER",JA
"SUNITA TRADERS","KOTWALI, KOTWALI PALTAN","+919897363473","General Trade","HANUMAN CHOWK","HANUMAN CHOWK",JA
"MAHAWAR STORE","KAULAGARH, KAULAGARH","+918979495022","General Trade","KAULAGARH","KAULAGARH",JA
"RENU MEDICAL","DAKRA, DAKRA","","General Trade","KAULAGARH","KAULAGARH",JA
"DATA RAM & SONS","TAGOR VILLA, TAGOR VILLA","+917875195331","General Trade","PALTAN BAZAR","PALTAN BAZAR",JA
"SUGAN CHAND STORE","RAJPUR, RAJPUR","+919456111444","General Trade","RAJPUR UPPER","RAJPUR UPPER",JA
"KING BAKER'S","RAJPUR, RAJPUR","+919412057922","General Trade","RAJPUR UPPER","RAJPUR UPPER",JA
"BAKE MASTER","RAJPUR ROAD, OPP GANDHI GROUND","","General Trade","NESHVILLA ROAD","NESHVILLA ROAD",JA
"CHADHA JI","HANUMAN CHOWK, HANUMAN CHOWK","","General Trade","HANUMAN CHOWK","HANUMAN CHOWK",JA
"AS PRO STORE","HANUMAN CHOWK, HANUMAN CHOWK","+919412145973","General Trade","HANUMAN CHOWK","HANUMAN CHOWK",JA
"DIVINE STORE","TURNER ROAD, TURNER ROAD","+918006120955","General Trade","CLEMENT TOWN","CLEMENT TOWN",JA
"Q GREEN MEDICOS","TURNER ROAD, TURNER ROAD","+918077314081","General Trade","CLEMENT TOWN","CLEMENT TOWN",JA
"MAHALAXMI TRADERS","KARGI, KARGI","+919756884604","General Trade","KARGI","KARGI",JA
"OLD RAM NIWAS","HANUMAN CHOWK, JHANDA BAZAR","","General Trade","HANUMAN CHOWK","HANUMAN CHOWK",JA
"CHACHA SHRI & SONS","TILAK ROAD, TILAK ROAD","+919410106400","General Trade","HANUMAN CHOWK","HANUMAN CHOWK",JA
"NEW AGGARWAL TRADING CO.","H.CHOWK, RAMLILA BAZAR","","General Trade","OUTER","OUTER",JA
"GOYAL WHOLESALE STORE","KARGI, BANJARAWALA","+918958274693","General Trade","KARGI","KARGI",JA
"BALRAJ STORE","RACE COURSE, RACE COURSE","+919410189099","General Trade","DHARAMPUR 1ST","DHARAMPUR 1ST",JA
"BADRI STORE","RACE COURSE, RACE COURSE","+919411382249","General Trade","SHOP CLOSED","SHOP CLOSED",JA
"ASHIYANA BAKERS","HARIDWAR RD, HARIDWAR ROAD","","General Trade","FUWARA CHOWK","FUWARA CHOWK",JA
"ABHISHEK ENTERPRISES","JHANDA BAZAR, JHANDA JI","+919897649333","General Trade","HANUMAN CHOWK","HANUMAN CHOWK",JA
"KAMAL KUMAR SAMPLE","ZM SAMPLE","","General Trade","OTHER","OTHER",JA
"PINK VILLA","RAIPUR CHOWK, RAIPUR CHOWK","+918755230411","General Trade","RAIPUR","RAIPUR",JA
"RAHUL STORE","SD ROAD, SD ROAD","","General Trade","NPA","NPA",JA
"APNA TRADERS- HANUMAN CHOWK","JHANDA BAZAR","","General Trade","HANUMAN CHOWK","HANUMAN CHOWK",JA
"QUEEN COSMETICS","PALTAN BAZAR","","General Trade","HANUMAN CHOWK","HANUMAN CHOWK",JA
"KUMAR STORE","KAULAGARH, KAULAGARH","+918077248029","General Trade","KAULAGARH","KAULAGARH",JA
"SK PROV STORE","DAKRA, BIRPUR ROAD","895467723","General Trade","KAULAGARH","KAULAGARH",JA
"SHRI SHYAM PROVISON & GEN STORE","KAULAGARH","","General Trade","PANDITVARI","PANDITVARI",JA
"BISHT GENERAL STORE","VASANT VIHAR, PANDIT WARI ROAD","","General Trade","PANDITVARI","PANDITVARI",JA
"DOBHAL AND NAVI ENTERPRISES","RAJENDER NAGAR","+919971195954","General Trade","DHARAMPUR 2ND","DHARAMPUR 2ND",JA
"OLD CAKE HOUSE","TURNER ROAD, TURNER ROAD","","General Trade","CLEMENT TOWN","CLEMENT TOWN",JA
"SURBHI MEDICAL STORE","DOON HOSPITA, DOON HOSPITAL","+919410745545","General Trade","DOON HOSPITAL","DOON HOSPITAL",JA
"JIYA MEDICOS","CHANDAN NAGAR, CHANDAN NAGAR","","General Trade","DOON HOSPITAL","DOON HOSPITAL",JA
"HEALTH N CARE","EC ROAD DHARAMPUR","+918057702222","General Trade","DHARAMPUR 2ND","DHARAMPUR 2ND",JA
"KAMAL KUMAR BILL","","","General Trade","OTHER","OTHER",JA
"RAJ KUMAR","HATTHIBARKALA, HATTHIBARKALA","","General Trade","NESHVILLA ROAD","NESHVILLA ROAD",JA
"SANJEEV DUTT","HATTHIBARKALA, HATHIBARKALA","","General Trade","NESHVILLA ROAD","NESHVILLA ROAD",JA
"ASM RANA","GMS ROAD, GMS ROAD","","General Trade","SHOP CLOSED","SHOP CLOSED",JA
"NEW SUN SHINE MS","DOON HOSPITAL, OPP. DOON HOSPITAL","","General Trade","DOON HOSPITAL","DOON HOSPITAL",JA
"MAA SANTOSHI CHEMIST","DOON HOSPIT, OPP. DOON HOSPITAL","+918057080709","General Trade","DOON HOSPITAL","DOON HOSPITAL",JA
"ASHOKA MEDICAL STORE","DOON HOSPIT, DOON HOSPITAL","+919634758955","General Trade","DOON HOSPITAL","DOON HOSPITAL",JA
"OLD JAIN MEDICAL STORE","DOON HOSPI, DOON HOSPITAL","+919634199599","General Trade","DOON HOSPITAL","DOON HOSPITAL",JA
"NATIONAL MEDICAL STORE","DOON HOSP, DOON HOSPITAL","","General Trade","DOON HOSPITAL","DOON HOSPITAL",JA
"CHAUDHARY COSMETICS","SEWLA KALA, NEAR BANSAL HOME","+919319738608","General Trade","CLEMENT TOWN II","CLEMENT TOWN II",JA
"KARTIK MEDICAL","SEWLA KALA, NEAR BANSAL HOME","+917060326631","General Trade","CLEMENT TOWN II","CLEMENT TOWN II",JA
"SHREE MEDICAL & GEN STORE","CLEMENT TOWN","","General Trade","CLEMENT TOWN","CLEMENT TOWN",JA
"INDIAN MEDICAL","RACE COURSE, SURI CHOWK","+918755025979","General Trade","DHARAMPUR 1ST","DHARAMPUR 1ST",JA
"F M TRADING CO.","HANUMAN CHOWK, HANUMAN CHOWK","","General Trade","HANUMAN CHOWK","HANUMAN CHOWK",JA
"MAA BALA SUNDRI MEDICAL","CANAL ROA, CANAL ROAD","+918791427724","General Trade","RAJPUR LOWER","RAJPUR LOWER",JA
"HEENA KANGAN STORE","SAHARANPUR CH., SAHARANPUR CHOWK","","General Trade","PATEL NAGAR","PATEL NAGAR",JA
"BAGGRY SAMPLE","","","General Trade","Unassigned","Unassigned",JA
"SANDEEP TANK","","","General Trade","OTHER","OTHER",JA
"MANOHAR LAL GULSHAN KUMAR","DHAMA WALA","","General Trade","HANUMAN CHOWK","HANUMAN CHOWK",JA
"CHOCOLATE CORNER","RAJPUR ROAD, RAJPUR ROAD","+919412052797","General Trade","NESHVILLA ROAD","NESHVILLA ROAD",JA
"LA BEAUTY","RAJENDER NAGAR, RAJENDER NAGAR","","General Trade","PANDITVARI","PANDITVARI",JA
"ALKYNE STORE","KARGI, KARGI","+917800717786","General Trade","KARGI","KARGI",JA
"JAYA COSMETICS","RING ROAD, FUWARA CHOWK","+919690326868","General Trade","FUWARA CHOWK","FUWARA CHOWK",JA
"SS SUPER STORE","SD ROAD, SD ROAD","+919720998941","General Trade","SD ROAD","SD ROAD",JA
"OLD RAJDHANI7","SD ROAD, SD ROAD","+918076403306","General Trade","SD ROAD","SD ROAD",JA
"KWIK MART","SD ROAD, SD ROAD","","General Trade","SD ROAD","SD ROAD",JA
"BABU GEN STORE","PANDITVARI, OPP KOTWALI","+919897859606","General Trade","PANDITVARI","PANDITVARI",JA
"GUPTA GEN STORE","PREMNAGAR, PREMNAGAR","","General Trade","PREM NAGAR","PREM NAGAR",JA
"BHAVYA PHARMACY","PREMNAGAR, PREMNAGAR","+919756849715","General Trade","PREM NAGAR","PREM NAGAR",JA
"OLD UNIYAL SUPER STORE","KARGI, KARGI","+916283405633","General Trade","KARGI","KARGI",JA
"ASHOK ANIL ENTERPRISES (LLP)","33 KESHAV ROAD LAXMAN CHOWK","","General Trade","SUVIDHA","SUVIDHA",JA
"NEERAJ ENTERPRISES","MUSSOORIE, MUSSOORIE, TRNS - MUSSOORIE DEHRA HILL","","General Trade","MUSSOORIE","MUSSOORIE",JA
"ASIF RIYA","RIYA, RIYA","","General Trade","OUTER","OUTER",JA
"ANAND JI CASH","DDN PALTAN, DDN","","General Trade","PALTAN BAZAR","PALTAN BAZAR",JA
"TIRUPATI MART","KARGI, AJABPUR KHURD","+917053753206","General Trade","KARGI","KARGI",JA
"GAURAV MASALE","HANUMAN CHOWK, HANUMAN CHOWK","","General Trade","HANUMAN CHOWK","HANUMAN CHOWK",JA
"OLD GARG TRADERS","HANUMAN CHOWK, MOCHI GALI","","General Trade","HANUMAN CHOWK","HANUMAN CHOWK",JA
"BALAJI MEDICOS","KARANPUR, BAHUGUNA MEDICAL","","General Trade","KARANPUR","KARANPUR",JA
"SIDDHANTH MEDICAL CENTER","THAKURPU, THAKURPUR ROAD","+917906553363","General Trade","PREM NAGAR","PREM NAGAR",JA
"DURGA MEDICAL","SUDDHOWALA, SUDDHOWALA","+919759448074","General Trade","PREM NAGAR","PREM NAGAR",JA
"PANWAR MEDICOS","SUDDHOWALA, BAHUWALA ROAD","+917505836103","General Trade","PREM NAGAR","PREM NAGAR",JA
"MANISHA MEDICOS","BAHUWALA ROAD, SUDDHOWALA","+917895197605","General Trade","PREM NAGAR","PREM NAGAR",JA
"ASHA MEDICAL","BAHUWALA ROAD, BAHUWALA ROAD","+918630004610","General Trade","PREM NAGAR","PREM NAGAR",JA
"SEHGAL MEDICOS","BAHUWALA ROAD, SUDDHOWALA","+919761821957","General Trade","PREM NAGAR","PREM NAGAR",JA
"KISHOR MEDICOS","PREMNAGAR, OPP PETROL PUMP NEAR UTTRACHAL UNIV","+917088000069","General Trade","PREM NAGAR","PREM NAGAR",JA
"OLD DOON GEN STORE","CLEMENT TOWN, CLEMENT TOWN","","General Trade","CLEMENT TOWN","CLEMENT TOWN",JA
"ADARSH BAKERS","RAJENDER NAGAR, RAJENDER NAGAR","","General Trade","PANDITVARI","PANDITVARI",JA
"BHAGIRATHI MEDICAL","NEHRU COLONY, OLD NEHRU COLONY","+917534801960","General Trade","DHARAMPUR 1ST","DHARAMPUR 1ST",JA
".KAI MANUFACTURING","GURGAON","","General Trade","OTHER","OTHER",JA
"VANADANA MS","RISPANA PULL, RISPANA PULL","+918476975900","General Trade","FUWARA CHOWK","FUWARA CHOWK",JA
"SAJWAN MEDICAL","DHARAMPUR, RSIPANA PULL","+919412054474","General Trade","FUWARA CHOWK","FUWARA CHOWK",JA
"DINESH STORE","VIKAS NAGAR, VIKAS NAGAR","+919557334184","General Trade","RISHIKESH","RISHIKESH",JA
"OLD SHUBHAM DAIRY","HATTHIBARKALA, OPP SANJAY TARA DUTT","","General Trade","NESHVILLA ROAD","NESHVILLA ROAD",JA
"SHRI AMARNATH TRADERS","BALLUPUR, BALLUPUR","","General Trade","KAULAGARH","KAULAGARH",JA
"NEW AJANTA STORE","KAULAGARH, OPP SBI BANK","","General Trade","KAULAGARH","KAULAGARH",JA
"K.K. ENTERPRISES","KASHIPUR, KASHIPUR","+919548991567","General Trade","OUTER","OUTER",JA
"AB PHARMACEUTICAL","JOGGIWALA, JOGGIWALA","","General Trade","FUWARA CHOWK","FUWARA CHOWK",JA
"RISHIK ENTERPRISES","MUSSOORIE, MUSSOORIE, TRNSP - VISHVANATH TRANSPORT","","General Trade","MUSSOORIE","MUSSOORIE",JA
"THE GOOD GROCERS","KANDOLI, KISHANPUR","","General Trade","RAJPUR LOWER","RAJPUR LOWER",JA
"ADARSH MEDICAL","KANDOLI, KANDOLI","","General Trade","RAJPUR LOWER","RAJPUR LOWER",JA
"KUMAR GEN STORE","H.CHOWK, HANUMAN CHOWK","","General Trade","HANUMAN CHOWK","HANUMAN CHOWK",JA
"OLD OM PRAKASH DINESH KUMAR","PANDI, PANDITVARI","+919412954141","General Trade","PANDITVARI","PANDITVARI",JA
"SUPER BANGLE STORE","JHANDA BAZAR, MELA WALI GALI","+919058427745","General Trade","HANUMAN CHOWK","HANUMAN CHOWK",JA
"HARDIK MEDICAL","DHARAMPUR, NEAR LIC BUILDING","+917060252968","General Trade","DHARAMPUR 1ST","DHARAMPUR 1ST",JA
"APNA STORE","GARHI CANT., SHAKSHPEAR ROAD","+919557861565","General Trade","SHOP CLOSED","SHOP CLOSED",JA
"RAJ GEN STORE","H.CHOWK, HANUMAN CHOWK","+918278975914","General Trade","HANUMAN CHOWK","HANUMAN CHOWK",JA
"DAVINDER COS","KOTWALI, KOTWALI","+919870872122","General Trade","HANUMAN CHOWK","HANUMAN CHOWK",JA
"OLD GURUNANAK GEN STORE","KOTWALI, KOTWALI","+919897275589","General Trade","HANUMAN CHOWK","HANUMAN CHOWK",JA
"M A COLLECTION","PALTAN BAZAR, SRIMAL BAZAR","","General Trade","HANUMAN CHOWK","HANUMAN CHOWK",JA
"SUPER KANGAN STORE","DHAMAWALA, DHAMWALA","844500726","General Trade","HANUMAN CHOWK","HANUMAN CHOWK",JA
"MOHIT DEPT. STORE","KALIDAS ROAD, KALIDAS ROAD","","General Trade","NESHVILLA ROAD","NESHVILLA ROAD",JA
"DOON MEDICAL","CHANDARBANI, CHANDARBANI","+919897922142","General Trade","CLEMENT TOWN II","CLEMENT TOWN II",JA
"DOON PLASTIC SALES","CHAKRATA ROAD, CHAKRATA ROAD","+919897427135","General Trade","HANUMAN CHOWK","HANUMAN CHOWK",JA
"GARHWAL MEDICAL","NEHRUGRAM, NEHRUGARAM","+917895655990","General Trade","MOHKAMPUR","MOHKAMPUR",JA
"SHRI RAMA MEDICAL","KEDARPRUAM, KEDARPURAM","","General Trade","MOHKAMPUR","MOHKAMPUR",JA
"CHANDAN","STAFF, DDN","","General Trade","ITBP-GOVIND GARH","ITBP-GOVIND GARH",JA
"CROCKERY PRO MART","UR, EKTA VIHAR","","General Trade","SD ROAD","SD ROAD",JA
"NARANG AGENCIES","PAONTA SAHIB, PAONTA SAHIB","+916397507206","General Trade","OUTER","OUTER",JA
"JOSHI BEAUTY COLLECTION","RAJENDER, RAJENDER NAGAR","","General Trade","PANDITVARI","PANDITVARI",JA
"SAHNI GEN STORE","KAULAGARH ROAD, NEAR KISHAN NAGAR CHOWK","","General Trade","PANDITVARI","PANDITVARI",JA
"NEGI BAKERS","CLEMENT TOWN, CLEMENT TOWN","","General Trade","CLEMENT TOWN","CLEMENT TOWN",JA
"AMIT JI KAI","","","General Trade","OTHER","OTHER",JA
"KOMAL COSMETICS","RAIPUR, RAIPUR CHOWK","+917830153780","General Trade","RAIPUR","RAIPUR",JA
